index,Title,Language,Release,Audience Rating,Runtime,Genre,Votes,Director,Actors
186,Amen,Malayalam,(I) (2013),,165 min,"Drama, Musical, Romance            ","2,588",Lijo Jose Pellissery,"['Fahadh Faasil', 'Indrajith Sukumaran', 'Kalabhavan Mani', 'Swathi Reddy']"
187,Chila NewGen Nattuvisheshangal,Malayalam,-2019,UA,150 min,"Comedy, Drama, Romance            ",8,Vijayan East Coast,"['Suraj Venjaramoodu', 'Hareesh Kanaran', 'Akhil Prabhakar', 'Nedumudi Venu']"
188,Kettiyollaanu Ente Maalakha,Malayalam,-2019,U,135 min,Comedy            ,782,Nissam Basheer,"['Asif Ali', 'Veena Nandhakumar', 'Manohari Joy', 'Basil Joseph']"
189,Mouna Raagam,Malayalam,-1983,Unrated,,"Drama, Romance            ",139,Ambili,"['Innocent', 'Karthik', 'Mohan', 'Nalini']"
190,Meleparambil Aanveedu,Malayalam,-1993,Not Rated,160 min,"Comedy, Drama, Musical            ",517,Rajasenan,"['Jayaram', 'Narendra Prasad', 'Meena', 'Janardanan']"
191,Vietnam Colony,Malayalam,-1992,Not Rated,154 min,"Action, Comedy, Drama            ",977,Lal,"['Siddique', 'Mohanlal', 'Innocent', 'Kanaka']"
192,T.P. Balagopalan M.A.,Malayalam,-1986,,126 min,"Drama, Comedy            ",533,Sathyan Anthikad,"['Mohanlal', 'Shobana', 'Maniyanpilla Raju', 'Balan K. Nair']"
193,Kattu Kuthira,Malayalam,-1990,Unrated,,Drama            ,32,P.G. Viswambharan,"['Anju', 'Innocent', 'Kanakalatha', 'K.P.A.C. Lalitha']"
194,Naayakan,Malayalam,-1985,U,,Drama            ,33,Balu Kiriyath,"['Mohanlal', 'Captain Raju', 'Kunchan', 'T.G. Ravi']"
195,Summer in Bethlehem,Malayalam,-1998,Unrated,143 min,"Comedy, Drama            ","1,003",Sibi Malayil,"['Mohanlal', 'Suresh Gopi', 'Jayaram', 'Manju Warrier']"
196,The King,Malayalam,-1995,UA,198 min,"Action, Thriller            ","1,180",Shaji Kailas,"['Punnapra Appachan', 'Azeez', 'Idavela Babu', 'Kunchan']"
197,Vellanakalude Naadu,Malayalam,-1988,U,129 min,"Comedy, Drama            ",768,Priyadarshan,"['Mohanlal', 'Shobana', 'Sreenivasan', 'Karamana Janardanan Nair']"
198,Vandanam,Malayalam,-1989,Not Rated,168 min,"Comedy, Romance, Thriller            ",870,Priyadarshan,"['Mohanlal', 'Girija Shettar', 'Mukesh', 'Jagadish']"
199,Utharam,Malayalam,-1989,,,"Drama, Mystery            ",343,V.K. Pavithran,"['Mammootty', 'Sukumaran', 'Parvathi', 'Suparna Anand']"
200,Aparan,Malayalam,-1988,,115 min,"Mystery, Thriller            ",313,P. Padmarajan,"['Jayaram', 'Shobana', 'Madhu', 'Sukumari']"
201,Anu Bandham,Malayalam,-1985,U,120 min,Drama            ,48,I.V. Sasi,"['Mohanlal', 'Mammootty', 'Seema', 'Shobana']"
202,Kamaladalam,Malayalam,-1992,,154 min,"Drama, Musical            ",417,Sibi Malayil,"['Mohanlal', 'Parvathi', 'Monisha', 'Vineeth']"
203,Yaathra,Malayalam,-1985,U,124 min,"Drama, Romance            ",382,Balu Mahendra,"['Shobana', 'Mammootty', 'Adoor Bhasi', 'Thilakan']"
204,Vartha,Malayalam,-1986,,163 min,"Action, Crime, Thriller            ",57,I.V. Sasi,"['Mohanlal', 'Mammootty', 'Seema', 'Rahman']"
205,Mattoral,Malayalam,-1988,Not Rated,114 min,Drama            ,69,K.G. George,"['Mammootty', 'Murali', 'Karamana Janardanan Nair', 'Seema']"
206,Bhargavi Nilayam,Malayalam,-1964,U,175 min,"Comedy, Drama, Mystery            ",93,A. Vincent,"['Prem Nazir', 'Madhu', 'Vijaya Nirmala', 'P.J. Anthony']"
207,Neelakkuyil,Malayalam,-1954,,182 min,Drama            ,35,P. Bhaskaran,"['Ramu Kariat', 'J.A.R. Anand', 'P. Bhaskaran', 'P.J. Cherian']"
208,Perumthachan,Malayalam,-1992,,140 min,"Drama, History            ",339,Ajayan,"['Manoj K. Jayan', 'Monisha', 'Prashanth', 'Thilakan']"
209,Nirmalyam,Malayalam,-1973,,134 min,Drama            ,84,M.T. Vasudevan Nair,"['P.J. Anthony', 'Kaviyoor Ponnamma', 'Kottarakkara Sridharan Nair', 'Sankaradi']"
210,Chemmeen,Malayalam,-1965,Not Rated,140 min,"Drama, Romance            ",443,Ramu Kariat,"['Sathyan', 'Sheela', 'Madhu', 'Kottarakkara Sridharan Nair']"
211,Jallikattu,Malayalam,-2019,Not Rated,95 min,"Action, Crime            ","2,316",Lijo Jose Pellissery,"['Antony Varghese', 'Chemban Vinod Jose', 'Sabumon Abdusamad', 'Santhy Balachandran']"
212,Vith,Malayalam,-2017,,84 min,Drama            ,22,Don Palathara,"['Archana Padmini', 'Vedh', 'Pradeep Kumar', 'Jayakrishnan']"
213,Oru Pennu Kaanal Kadha,Malayalam,-2017,,,"Comedy, Drama, Romance            ",61,Tharun Bhaskaran,"['Abhay Bethiganti', 'Vijay Deverakonda', 'Ritu Varma']"
214,Hippocratic,Malayalam,-2017,,92 min,Biography            ,16,Mike Hill,['M.R. Rajagopal']
215,Kataka,Malayalam,-2017,Not Rated,107 min,"Horror, Thriller            ",160,Ravi Basrur,"['Ashok Raj', 'Spandana Prasad', 'Shlagha Saligrama', 'Madhava Karkada']"
216,Gold Coins,Malayalam,-2017,U,145 min,Family            ,15,Pramod Gopal,"['Lijo Jose', 'Gopal Master', 'Vasudev Master', 'Meera Nandan']"
217,Olappeeppi,Malayalam,-2016,U,121 min,Drama            ,111,Krish Kymal,"['Biju Menon', 'Paris Laxmi', 'Punnassery Kanchana', 'Reina Maria']"
218,Vismayam,Malayalam,-2016,U,164 min,Drama            ,720,Chandra Sekhar Yeleti,"['Mohanlal', 'Gautami', 'Viswant Duddumpudi', 'Raina Rao']"
219,Action Hero Biju,Malayalam,-2016,,144 min,"Action, Comedy, Thriller            ","2,874",Abrid Shine,"['Nivin Pauly', 'Anu Emmanuel', 'Devi Ajith', 'Baby']"
220,Oraalppokkam,Malayalam,-2014,,99 min,"Drama, Fantasy, Mystery            ",88,Sanal Kumar Sasidharan,"['Prakash Bare', 'Meena Kandasamy', 'Samvid Anand', 'Chala Chari']"
221,Ohm Shanthi Oshaana,Malayalam,-2014,,136 min,"Comedy, Romance            ","4,011",Jude Anthany Joseph,"['Nazriya Nazim', 'Nivin Pauly', 'Aju Varghese', 'Vineeth Sreenivasan']"
222,"Blue Skies, Green Waters, Red Earth",Malayalam,-2013,,137 min,"Adventure, Drama            ","2,748",Sameer Thahir,"['Dulquer Salmaan', 'Sunny Wayne', 'Bala Hijam', 'Shane Nigam']"
223,Celluloid,Malayalam,-2013,U,129 min,"Biography, Drama            ","1,285",Kamal,"['Prithviraj Sukumaran', 'Sreenivasan', 'Mamta Mohandas', 'Chandini']"
224,Shutter,Malayalam,-2012,,133 min,Thriller            ,955,Joy Mathew,"['Vinay Forrt', 'Lal', 'Sajitha Madathil', 'Nishaa Mathew']"
225,Eega,Malayalam,-2012,Not Rated,145 min,"Action, Comedy, Fantasy            ","20,050",S.S. Rajamouli,"['J.V.V. Sathyanarayana', 'Sudeep', 'Nani', 'Samantha Ruth Prabhu']"
226,Ee Adutha Kaalath,Malayalam,-2012,,162 min,Thriller            ,945,Arun Kumar,"['Indrajith Sukumaran', 'Tanu Roy', 'Murali Gopy', 'Lena']"
227,Indian Rupee,Malayalam,-2011,,155 min,"Drama, Family            ","1,499",Renjith,"['Prithviraj Sukumaran', 'Thilakan', 'Tini Tom', 'Lalu Alex']"
228,Melvilasom,Malayalam,-2011,,105 min,"Drama, Thriller            ",352,Madhav Ramadasan,"['Asokan', 'Suresh Gopi', 'Krishna Kumar', 'Parthiban']"
229,Akkarakazhchakal - The Movie,Malayalam,-2011,,120 min,Comedy            ,74,Abi Varghese,"['Ajayan Venugopalan', 'Ron Barba', 'Eric V. Cantada', 'Jon Crefeld']"
230,Paleri Manikyam: Oru Pathirakolapathakathinte Katha,Malayalam,-2009,A,155 min,"Crime, Drama, History            ","1,353",Renjith,"['Mammootty', 'T. Damodaran', 'Sasi Kalinga', 'Suresh Krishna']"
231,The Kung Fu Master,Malayalam,-2020,UA,126 min,Action            ,37,Abrid Shine,"['Neeta Pillai', 'Jiji Scaria']"
232,Helen,Malayalam,(V) (2019),U,117 min,"Drama, Thriller            ","1,002",Mathukutty Xavier,"['Anna Ben', 'Lal', 'Noble Babu Thomas', 'Aju Varghese']"
233,Stand Up,Malayalam,(I) (2019),U,118 min,"Crime, Drama, Family            ",13,Vidhu Vincent,"['Rajisha Vijayan', 'Nimisha Sajayan', 'Arjun Asokan', 'Seema']"
234,Big B,Malayalam,-2007,UA,130 min,"Action, Crime, Thriller            ","2,446",Amal Neerad,"['Mammootty', 'Manoj K. Jayan', 'Bala', 'Sumit Naval']"
235,Rajamanikyam,Malayalam,-2005,Not Rated,126 min,"Action, Comedy            ","1,714",Anwar Rasheed,"['Santhosh Jogi', 'Mammootty', 'Vijay Menon', 'Kiran Raj']"
236,Kalyanaraman,Malayalam,-2002,Not Rated,126 min,"Comedy, Drama            ",998,Shafi,"['Dileep', 'Navya Nair', 'Lal', 'Lalu Alex']"
237,Peranbu,Tamil,-2018,Not Rated,147 min,Drama            ,"11,067",Ram,"['Amudhavan Karuppiah', 'Anjana Krishnakumar', 'Mammootty', 'Sadhana']"
238,Raatchasan,Tamil,-2018,Not Rated,170 min,"Action, Crime, Thriller            ","13,991",Ram Kumar,"['Radha Ravi', 'Sangili Murugan', 'Nizhalgal Ravi', 'Saravanan']"
239,96,Tamil,(II) (2018),Not Rated,158 min,"Drama, Romance            ","13,520",C. Prem Kumar,"['Vijay Sethupathi', 'Trisha Krishnan', 'Varsha Bollamma', 'Adithya Bhaskar']"
240,Vikram Vedha,Tamil,-2017,Not Rated,147 min,"Action, Crime, Thriller            ","21,252",Gayatri,"['Pushkar', 'Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath']"
241,Anbe Sivam,Tamil,-2003,Not Rated,160 min,"Adventure, Comedy, Drama            ","13,996",Sundar C.,"['Kamal Haasan', 'Madhavan', 'Kiran Rathod', 'Nassar']"
242,Nayakan,Tamil,-1987,Not Rated,156 min,"Crime, Drama            ","14,080",Mani Ratnam,"['Kamal Haasan', 'Saranya Ponvannan', 'Delhi Ganesh', 'Janagaraj']"
243,Dangal,Tamil,-2016,Not Rated,161 min,"Action, Biography, Drama            ","1,35,989",Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
244,Thani Oruvan,Tamil,-2015,Not Rated,160 min,"Action, Crime, Thriller            ","14,741",Mohan Raja,"['Jayam Ravi', 'Arvind Swamy', 'Nayanthara', 'Nassar']"
245,Tumbbad,Tamil,-2018,Not Rated,104 min,"Drama, Fantasy, Horror            ","18,298",Rahi Anil Barve,"['Anand Gandhi', 'Adesh Prasad', 'Sohum Shah', 'Jyoti Malshe']"
246,Vishwaroopam,Tamil,-2018,Not Rated,156 min,"Action, Drama            ","28,369",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
247,Anniyan,Tamil,-2017,Not Rated,167 min,"Action, Drama            ","69,326",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
248,Roja,Tamil,-2013,Not Rated,148 min,"Action, Thriller            ","38,141",Kamal Haasan,"['Pooja Kumar', 'Miles Anderson', 'Kamal Haasan', 'Rahul Bose']"
249,Bombay,Tamil,-2005,Not Rated,183 min,"Action, Drama, Thriller            ","12,848",S. Shankar,"['Vikram', 'Sada', 'Prakash Raj', 'Vivek']"
250,Dev.D,Tamil,-1992,U,137 min,"Drama, Romance, Thriller            ","10,846",Mani Ratnam,"['Arvind Swamy', 'Madhoo', 'Pankaj Kapur', 'Nassar']"
251,Kaththi,Tamil,-2015,Not Rated,159 min,"Action, Drama            ","96,770",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Ramya Krishnan', 'Sathyaraj']"
252,Life of Pi,Tamil,-1995,Not Rated,130 min,"Drama, Musical, Romance            ","10,518",Mani Ratnam,"['Arvind Swamy', 'Manisha Koirala', 'Nassar', 'Kitty']"
253,Hey Ram,Tamil,-2009,Not Rated,144 min,"Comedy, Drama, Romance            ","27,042",Anurag Kashyap,"['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin', 'Dibyendu Bhattacharya']"
254,24,Tamil,-2014,Not Rated,166 min,"Action, Drama            ","16,388",A.R. Murugadoss,"['Joseph Vijay', 'Samantha Ruth Prabhu', 'Neil Nitin Mukesh', 'Tota Roy Chowdhury']"
255,Thuppakki,Tamil,-2012,PG,127 min,"Adventure, Drama, Fantasy            ","5,54,522",Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain', 'Tabu']"
256,English Vinglish,Tamil,-2000,Not Rated,186 min,"Crime, Drama, History            ","10,724",Kamal Haasan,"['Kamal Haasan', 'Shah Rukh Khan', 'Rani Mukerji', 'Hema Malini']"
257,Bharath Ane Nenu,Tamil,(I) (2016),Not Rated,164 min,"Action, Sci-Fi, Thriller            ","15,370",Vikram K. Kumar,"['Suriya', 'Samantha Ruth Prabhu', 'Nithya Menon', 'Saranya Ponvannan']"
258,Mersal,Tamil,-2012,Not Rated,165 min,"Action, Thriller            ","22,149",A.R. Murugadoss,"['Joseph Vijay', 'Kajal Aggarwal', 'Vidyut Jammwal', 'Sathyan']"
259,Saala Khadoos,Tamil,-2012,Not Rated,134 min,"Comedy, Drama, Family            ","31,519",Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']"
260,Raanjhanaa,Tamil,-2018,Not Rated,173 min,"Action, Drama            ","14,514",Koratala Siva,"['Mahesh Babu', 'Kiara Advani', 'Prakash Raj', 'Sarath Kumar']"
261,Mankatha,Tamil,-2017,Not Rated,172 min,"Action, Thriller            ","22,953",Atlee Kumar,"['Joseph Vijay', 'S.J. Suryah', 'Kajal Aggarwal', 'Samantha Ruth Prabhu']"
262,Magadheera,Tamil,-2012,Not Rated,145 min,"Action, Comedy, Fantasy            ","20,050",S.S. Rajamouli,"['J.V.V. Sathyanarayana', 'Sudeep', 'Nani', 'Samantha Ruth Prabhu']"
263,Dil Se..,Tamil,-2016,Not Rated,109 min,"Action, Drama, Sport            ","10,667",Sudha Kongara,"['Madhavan', 'Nassar', 'Radha Ravi', 'Kaali Venkat']"
264,Sivaji,Tamil,-2013,Not Rated,140 min,"Drama, Romance            ","27,784",Aanand L. Rai,"['Dhanush', 'Sonam Kapoor', 'Mohammed Zeeshan Ayyub', 'Swara Bhaskar']"
265,Ghajini,Tamil,-2011,Not Rated,155 min,"Action, Crime, Thriller            ","12,095",Venkat Prabhu,"['Ajith Kumar', 'Arjun Sarja', 'Trisha Krishnan', 'Premgi Amaren']"
266,Nanban,Tamil,-2009,Not Rated,166 min,"Action, Drama, Fantasy            ","17,085",S.S. Rajamouli,"['Ram Charan', 'Kajal Aggarwal', 'Dev Gill', 'Srihari']"
267,I,Tamil,-1998,Not Rated,163 min,"Drama, Romance            ","25,315",Mani Ratnam,"['Shah Rukh Khan', 'Manisha Koirala', 'Preity Zinta', 'Raghuvir Yadav']"
268,Dheepan,Tamil,-2007,Not Rated,188 min,"Action, Drama, Thriller            ","16,486",S. Shankar,"['Rajinikanth', 'Shriya Saran', 'Suman', 'Vivek']"
269,Talaash,Tamil,-2005,Not Rated,175 min,"Action, Drama, Mystery            ","11,678",A.R. Murugadoss,"['Suriya', 'Asin Thottumkal', 'Nayanthara', 'Pradeep Singh Rawat']"
270,The Man Who Knew Infinity,Tamil,-2012,Not Rated,188 min,"Comedy, Drama            ","10,799",S. Shankar,"['Joseph Vijay', 'Jiiva', 'Srikanth', ""Ileana D'Cruz""]"
271,Theri,Tamil,-2015,Not Rated,188 min,"Action, Drama, Thriller            ","18,001",S. Shankar,"['Vikram', 'Amy Jackson', 'Suresh Gopi', 'Upen Patel']"
272,Enthiran,Tamil,-2015,R,115 min,"Crime, Drama            ","13,003",Jacques Audiard,"['Jesuthasan Antonythasan', 'Kalieaswari Srinivasan', 'Claudine Vinasithamby', 'Vincent Rottiers']"
273,Padmaavat,Tamil,-2012,Not Rated,140 min,"Crime, Drama, Mystery            ","37,317",Reema Kagti,"['Aamir Khan', 'Kareena Kapoor', 'Rani Mukerji', 'Nawazuddin Siddiqui']"
274,Sarkar,Tamil,-2015,PG-13,108 min,"Biography, Drama            ","46,699",Matt Brown,"['Dev Patel', 'Jeremy Irons', 'Malcolm Sinclair', 'Raghuvir Joshi']"
275,War,Tamil,-2016,Not Rated,157 min,"Action, Drama            ","11,996",Atlee Kumar,"['Joseph Vijay', 'Samantha Ruth Prabhu', 'Amy Jackson', 'Baby Nainika']"
276,2,Tamil,-2010,Not Rated,174 min,"Action, Sci-Fi            ","23,829",S. Shankar,"['Rajinikanth', 'Aishwarya Rai Bachchan', 'Danny Denzongpa', 'Santhanam']"
277,Krrish,Tamil,-2018,Not Rated,164 min,"Drama, History, Romance            ","25,251",Sanjay Leela Bhansali,"['Deepika Padukone', 'Ranveer Singh', 'Shahid Kapoor', 'Aditi Rao Hydari']"
278,Kabali,Tamil,-2018,Not Rated,163 min,"Action, Drama            ","11,730",A.R. Murugadoss,"['Joseph Vijay', 'Keerthi Suresh', 'Varalaxmi Sarathkumar', 'Pala Karuppaiah']"
279,MSG: The Messenger of God,Tamil,-2019,Not Rated,154 min,"Action, Thriller            ","15,528",Siddharth Anand,"['Hrithik Roshan', 'Tiger Shroff', 'Vaani Kapoor', 'Ashutosh Rana']"
280,Chennai Express,Tamil,-2018,Not Rated,148 min,"Action, Sci-Fi            ","19,479",S. Shankar,"['Rajinikanth', 'Akshay Kumar', 'Amy Jackson', 'Adil Hussain']"
281,Vivegam,Tamil,-2006,Not Rated,154 min,"Action, Sci-Fi            ","16,915",Rakesh Roshan,"['Hrithik Roshan', 'Priyanka Chopra', 'Rekha', 'Naseeruddin Shah']"
282,Dhoom 3,Tamil,-2016,TV-MA,153 min,"Action, Crime, Drama            ","10,862",Pa. Ranjith,"['Rajinikanth', 'Winston Chao', 'Radhika Apte', 'Dhansika']"
283,Sandhippoma,Tamil,-2015,U,197 min,"Action, Comedy, Drama            ","11,107",Jeetu Arora,"['Gurmeet Ram Rahim Singh', 'Gurmeet Ram Rahim Singh', 'Daniel Kaleb', 'Flora Saini']"
284,Joker,Tamil,-2013,Not Rated,141 min,"Action, Comedy            ","46,268",Rohit Shetty,"['Deepika Padukone', 'Shah Rukh Khan', 'Sathyaraj', 'Nikitin Dheer']"
285,Papanasam,Tamil,-2017,Not Rated,149 min,"Action, Thriller            ","10,270",Siva,"['Ajith Kumar', 'Vivek Oberoi', 'Kajal Aggarwal', 'Akshara Haasan']"
286,Kaakkaa Muttai,Tamil,-2013,Not Rated,172 min,"Action, Thriller            ","41,445",Vijay Krishna Acharya,"['Aamir Khan', 'Katrina Kaif', 'Abhishek Bachchan', 'Uday Chopra']"
287,Rudhra Thaandavam,Tamil,-1998,Not Rated,136 min,"Drama, Romance            ",56,Indrakumar,"['Ambika', 'Sarath Babu', 'Prakash Raj', 'Radhika Sarathkumar']"
288,Kattradhu Thamizh,Tamil,-2016,Not Rated,130 min,"Comedy, Drama            ","2,712",Raju Murugan,"['Raju Saravanan', 'Guru Somasundaram', 'Ramya Pandiyan', 'Gayathri']"
289,Kurukshetra 3D,Tamil,-2016,Not Rated,161 min,"Action, Biography, Drama            ","1,35,989",Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
290,Pudhu Pettai,Tamil,-2015,Not Rated,160 min,"Action, Crime, Thriller            ","14,741",Mohan Raja,"['Jayam Ravi', 'Arvind Swamy', 'Nayanthara', 'Nassar']"
291,Pithamagan,Tamil,-2015,Not Rated,179 min,"Drama, Thriller            ","4,963",Jeethu Joseph,"['Kamal Haasan', 'Gautami', 'Nivetha Thomas', 'Esther Anil']"
292,Kannathil Muthamittal,Tamil,-2014,U,91 min,"Comedy, Drama            ","4,735",M. Manikandan,"['Ramesh', 'J. Vignesh', 'Aishwarya Rajesh', 'Ramesh Thilak']"
293,Nerkonda Paarvai,Tamil,-1978,,,Drama            ,19,V.K. Ramasamy,"['K. Vijayan', 'Lavanya', 'Aachi Manorama', 'Nagesh']"
294,Baaram,Tamil,-2007,,147 min,"Drama, Mystery            ","2,145",Ram,"['Jiiva', 'Anjali', 'Karunas', 'Azhagam Perumal']"
295,Theeran Adhigaram Ondru,Tamil,-2019,,,History            ,12,Munirathna,['Dharshan']
296,Enakkul Oru Devathai,Tamil,-2006,Not Rated,168 min,"Action, Crime, Drama            ","3,818",K. Selvaraghavan,"['Dhanush', 'Sneha', 'Sonia Agarwal', 'Azhagam Perumal']"
297,Jigarthanda,Tamil,-2003,R,139 min,"Action, Drama            ","4,468",Bala,"['Vikram', 'Suriya', 'Laila', 'Sangeetha']"
298,Soodhu Kavvum,Tamil,-2002,Not Rated,123 min,"Action, Drama, War            ","6,736",Mani Ratnam,"['Madhavan', 'Simran', 'Keerthana Parthiepan', 'Nandita Das']"
299,Vazhakku Enn 18/9,Tamil,-1996,UA,178 min,"Action, Drama, History            ","3,340",Priyadarshan,"['Mohanlal', 'Amrish Puri', 'Prabhu', 'Tabu']"
300,Malai Sooda Va,Tamil,-2019,Not Rated,157 min,"Action, Drama, Thriller            ","4,647",H. Vinoth,"['Ajith Kumar', 'Vidya Balan', 'Rangaraj Pandey', 'Shraddha Srinath']"
301,Aarilirindhu Aruvathu Varai,Tamil,-2018,,92 min,Drama            ,40,Priya Krishnaswamy,"['Adhini', 'Ajith', 'Atulya Anand', 'Anjali']"
302,Alai Payuthey,Tamil,-2018,Not Rated,104 min,"Drama, Fantasy, Horror            ","18,298",Rahi Anil Barve,"['Anand Gandhi', 'Adesh Prasad', 'Sohum Shah', 'Jyoti Malshe']"
303,Mullum Malarum,Tamil,-2017,Not Rated,157 min,"Action, Crime, Thriller            ","7,740",H. Vinoth,"['Karthi', 'Rakul Preet Singh', 'Abhimanyu Singh', 'Bose Venkat']"
304,Mudhalvan,Tamil,-2018,Not Rated,127 min,"Biography, Drama, Romance            ","3,112",Mahi v Raghav,"['Mammootty', 'Joy Badlani', 'Nassar', 'Suhasini']"
305,Varumayin Niram Sigappu,Tamil,-2014,U,108 min,Family            ,83,Buvanjibharat,"['Buvanjibharat', 'Jessy', 'Karna', 'Vijiith']"
306,Apoorva Sagodharargal,Tamil,-2014,Not Rated,171 min,"Action, Crime, Drama            ","9,180",Karthik Subbaraj,"['Siddharth', 'Bobby Simha', 'Lakshmi Menon', 'Nassar']"
307,Moham Muppathu Varusham,Tamil,-2013,Not Rated,135 min,"Comedy, Crime, Thriller            ","7,908",Nalan Kumarasamy,"['Vijay Sethupathi', 'Sanchita Shetty', 'Radha Ravi', 'M.S. Bhaskar']"
308,Thadam,Tamil,-2012,UA,124 min,"Crime, Drama, Thriller            ","1,841",Balaji Sakthivel,"['Sri', 'Mithun Murali', 'Urmila Mahanta', 'Manisha Yadav']"
309,Kadhal Kasakuthaiya,Tamil,-1975,,,"Drama, Romance            ",9,C.V. Rajendran,"['Kamal Haasan', 'Manjula']"
310,Aandavan Kattalai,Tamil,-1979,,150 min,"Biography, Drama            ",535,S.P. Muthuraman,"['Jayalakshmi', 'Suruli Rajan', 'Rajinikanth', 'Cho Ramaswamy']"
311,Onaayum Aattukkuttiyum,Tamil,-2000,Not Rated,156 min,"Drama, Musical, Romance            ","4,548",Mani Ratnam,"['Madhavan', 'Shalini', 'Swarnamalya', 'V. Natarajan']"
312,Naduvula Konjam Pakkatha Kaanom,Tamil,-1978,Not Rated,143 min,Drama            ,614,J. Mahendran,"['Sarath Babu', 'Jayalakshmi', 'Shubha', 'Venniradai Moorthy']"
313,Virumandi,Tamil,-1999,Not Rated,169 min,"Action, Drama, Thriller            ","5,617",S. Shankar,"['Arjun Sarja', 'Manisha Koirala', 'Raghuvaran', 'Vadivelu']"
314,Aananda Kanner,Tamil,-1980,Not Rated,138 min,Drama            ,792,K. Balachander,"['Kamal Haasan', 'Sridevi', 'Prathap Pothen', 'Dilip']"
315,Sathi Leelavathi,Tamil,-1989,U,157 min,"Action, Comedy, Drama            ","2,965",Singeetam Srinivasa Rao,"['Kamal Haasan', 'Nagesh', 'Srividya', 'Gautami']"
316,Guna,Tamil,-1976,A,,"Drama, Romance            ",6,S.P. Muthuraman,"['Kamal Haasan', 'Sumithra', 'Vijayakumar', 'Jayalakshmi']"
317,Baasha,Tamil,-2018,Not Rated,156 min,"Action, Drama            ","28,369",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
318,Anjali,Tamil,-2019,Not Rated,138 min,"Action, Crime, Thriller            ","2,841",Magizh Thirumeni,"['Arun Vijay', 'Tanya Hope', 'Smruthi Venkat', 'Fefsi Vijayan']"
319,Swathi Muthyam,Tamil,-2017,,137 min,"Drama, Romance            ",92,Dwarakh Raja,"['Charlie', 'Dhruvva', 'Jayaganesh', 'Linga']"
320,Vedigundu Pasangge,Tamil,-2016,U,151 min,Drama            ,"1,852",M. Manikandan,"['Vijay Sethupathi', 'Ritika Singh', 'Pooja Devariya', 'Nassar']"
321,Kurangu Bommai,Tamil,-2017,Not Rated,167 min,"Action, Drama            ","69,326",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']"
322,Appa,Tamil,-2013,Not Rated,141 min,"Crime, Mystery, Thriller            ","2,009",Myshkin,"['Myshkin', 'Sri', 'Adithya Menon', 'Bharath']"
323,Maanagaram,Tamil,-2012,U,162 min,"Comedy, Drama            ","4,320",Balaji Tharaneetharan,"['Vijay Sethupathi', 'Gayathrie', 'Bagavathi Perumal', 'Rajkumar']"
324,Uriyadi,Tamil,-2013,Not Rated,148 min,"Action, Thriller            ","38,141",Kamal Haasan,"['Pooja Kumar', 'Miles Anderson', 'Kamal Haasan', 'Rahul Bose']"
325,Kuttram Kadithal,Tamil,-2005,Not Rated,183 min,"Action, Drama, Thriller            ","12,848",S. Shankar,"['Vikram', 'Sada', 'Prakash Raj', 'Vivek']"
326,Sathuranga Vettai,Tamil,-2004,U,175 min,"Action, Drama, Thriller            ","3,875",Kamal Haasan,"['Kamal Haasan', 'Abhirami', 'Pasupathy', 'Napolean']"
327,"Him, Here, After",Tamil,-1986,Not Rated,120 min,Drama            ,6,K. Vijayan,"['Shivaji Ganesan', 'Janagaraj', 'Jayashree', 'Lakshmi']"
328,Anjathe,Tamil,-1995,Not Rated,151 min,"Comedy, Drama            ","1,102",Balu Mahendra,"['Kamal Haasan', 'Ramesh Aravind', 'Kovai Sarala', 'Kalpana']"
329,Deiva Thirumagal,Tamil,-1991,Not Rated,167 min,"Drama, Romance            ","2,312",Santhana Bharathi,"['Kamal Haasan', 'Roshini', 'Rekha', 'Varalakshmi S.']"
330,Aadukalam,Tamil,-1995,Not Rated,145 min,"Action, Crime, Drama            ","7,991",Suresh Krishna,"['Rajinikanth', 'Nagma', 'Raghuvaran', 'Vijayakumar']"
331,Kanchivaram,Tamil,-1992,U,137 min,"Drama, Romance, Thriller            ","10,846",Mani Ratnam,"['Arvind Swamy', 'Madhoo', 'Pankaj Kapur', 'Nassar']"
332,Paruthiveeran,Tamil,-1990,Not Rated,150 min,"Family, Drama            ","2,478",Mani Ratnam,"['Revathy', 'Raghuvaran', 'Prabhu', 'Saranya Ponvannan']"
