index,Title,Language,Release,Audience Rating,Runtime,Genre,Votes,Director,Actors
803,Soojidaara,Kannada,-1971,,152 min,Drama            ,250,Dhorairaj Bhagavan,"['Rajkumar', 'Arathi', 'Ashwath', 'Balkrishna']"
804,Kannadakkagi Ondannu Otti,Kannada,-1982,Not Rated,148 min,"Drama, Romance            ",64,Dhorairaj Bhagavan,['Rajkumar']
805,Krishna Leela,Kannada,-1996,U,138 min,"Action, Drama            ",10,Shivamani,"['Shivarajkumar', 'Niveditha Jain', 'Arundathi Nag', 'C.R. Simha']"
806,Maleyali Jotheyali,Kannada,-1974,Not Rated,155 min,Drama            ,308,Siddalingaiah,"['Vishnuvardhan', 'Lokesh', 'M.P. Shankar', 'Balkrishna']"
807,Aa Dinagalu,Kannada,-1986,,180 min,Drama            ,32,Lalitha Ravi,"['Madhavi', 'Saritha', 'Shivaram', 'M.S. Umesh']"
808,Case No.18/9,Kannada,-1991,,148 min,"Comedy, Crime            ",398,H.S. Phani Ramchandra,"['Anant Nag', 'Vinaya Prakash', 'Mukhyamantri Chandru', 'Shruti']"
809,Raktha Kanneeru,Kannada,-1990,,131 min,"Biography, Drama, Music            ",39,T.S. Nagabharana,"['Sridhar', 'Girish Karnad', 'Suman Ranganath']"
810,Milana,Kannada,-1996,Not Rated,140 min,"Drama, Romance            ",62,T.S. Nagabharana,"['Shivarajkumar', 'Shilpa', 'Mysuru Anand', 'Mukhyamantri Chandru']"
811,Gaalipata,Kannada,-1972,Not Rated,153 min,Drama            ,18,Hunsur Krishnamurthy,"['Ashwath', 'Bharathi', 'B. Hanumanthachar', 'B. Jaya']"
812,Gulabi Talkies,Kannada,-1977,Not Rated,160 min,Drama            ,257,Hunsur Krishnamurthy,"['Rajkumar', 'Jaymala Adarsh', 'Saroja Devi B.', 'Kanchana']"
813,Halu Jenu,Kannada,-1971,Not Rated,166 min,Drama            ,38,B.V. Karanth,"['Girish Karnad', 'Venkata Rao Talegiri', 'L.V. Sharada Rao', 'B.V. Karanth']"
814,Alidu Ulidavaru,Kannada,-2019,,,"Comedy, Drama, Romance            ",17,Priya V.,"['Nirup Bhandari', 'Radhika Pandit', 'Yash Shetty']"
815,Night Out,Kannada,-2019,,,"Crime, Mystery            ",15,Vinaybalaji,"['Vaishnavi Chandran', 'Niranjan Deshpande', 'Kishore Kumar G.', 'Honnavalli Krishna']"
816,Chakravyuha,Kannada,-2018,,,Romance            ,11,Sriman Vemula,"['Avinash', 'Pranam Devaraj', 'Nidhi Kushalappa']"
817,Striker,Kannada,-2019,Not Rated,174 min,"Action, Comedy            ","3,625",Sachin,"['Rakshit Shetty', 'Shanvi Srivastava', 'Achyuth Kumar', 'Salman Ahmed']"
818,Kavacha,Kannada,-2019,Not Rated,143 min,Thriller            ,"1,178",Hemanth M. Rao,"['Suman Ranganath', 'Anant Nag', 'Achyuth Kumar', 'Avinash']"
819,Eradane Sala,Kannada,-2008,UA,147 min,"Crime, Thriller            ",42,Dinakar Thoogudeepa,"['Vinod Prabhakar', 'Srujan Lokesh', 'Dharma Keerthiraj', 'Sharmiela Mandre']"
820,Heegondhu Dina,Kannada,-2017,UA,152 min,Action            ,"1,038",Narthan,"['Shanvi Srivastava', 'Shivarajkumar', 'Prakash Belawadi', 'Sri Murali']"
821,Vedanti,Kannada,-2014,UA,,"Action, Crime, Drama            ",54,Suni,"['Srinagar Kitty', 'Meghana Raj', 'Naveen Sagar', 'Manasa Rao']"
822,Beautiful Manasugalu,Kannada,-2015,,,"Drama, Romance            ",18,Raghava Murali,"['Dharma Keerthiraj', 'Sharmiela Mandre']"
823,Abhi,Kannada,-2013,,134 min,"Drama, Romance            ",36,Santhosh,"['Arun', 'Pawana', 'Shruti', 'Ramakrishna']"
824,Ricky,Kannada,-2016,Not Rated,135 min,"Comedy, Drama, Romance            ",246,Vijaya Prasad,"['Jaggesh', 'Haripriya', 'Suman Ranganath', 'H.G. Dattatreya']"
825,First Rank Raju,Kannada,(II) (2006),U,143 min,Comedy            ,212,Guruprasad,"['Jaggesh', 'Sudarshan', 'Tabla Nani', 'Mandya Ramesh']"
826,Ouija: Game Never Ends,Kannada,(II) (2010),UA,140 min,Drama            ,"1,958",Upendra,"['Upendra', 'Nayanthara', 'Tulip Joshi', 'Sadhu Kokila']"
827,Kraanthiveera Sangolli Raayanna,Kannada,-1976,Not Rated,150 min,"Comedy, Thriller            ",44,V. Somasekhar,"['Rajkumar', 'Arathi', 'Jayamala', 'Vajramuni']"
828,Alegalu,Kannada,-2004,,100 min,"Drama, Horror, Thriller            ",862,P. Vasu,"['Vishnuvardhan', 'Soundarya', 'Ramesh Aravind', 'Prema']"
829,Beladingala baale,Kannada,-2019,UA,106 min,"Comedy, Drama, Romance            ",102,Vinay Bharadwaj,"['Praveen Tej', 'Radhika Chetan', 'Ananya Kashyap', 'Ajay Raj']"
830,Bengaloored,Kannada,-2004,,90 min,Drama            ,31,Girish Kasaravalli,"['Chaya Singh', 'Thaara', 'Chandrahas Ullal']"
831,Operation Jackpot,Kannada,-1968,Not Rated,145 min,"Crime, Thriller            ",58,Dhorairaj Bhagavan,"['Rajkumar', 'Sabitha Perara', 'Lakshmi', 'Rekha']"
832,Daari tappida maga,Kannada,(I) (1982),,114 min,Drama            ,38,Vijay,"['Balkrishna', 'Gayathri', 'Leelavathi', 'Shankar Nag']"
833,Nee Bareda Kadambari,Kannada,-1954,U,155 min,Drama            ,78,H.L.N. Simha,"['Rajkumar', 'Pandharibai', 'G.V. Iyer', 'Ramachandra Sastry H.R.']"
834,Benki Birugali,Kannada,-1991,,,Drama            ,55,T.S. Nagabharana,['Girish Karnad']
835,Elleidde illi Tanaka,Kannada,-1983,,108 min,"Drama, Mystery            ",15,T.S. Nagabharana,"['Girish Karnad', 'Anant Nag', 'Smita Patil', 'Balkrishna']"
836,Operation Nakshatra,Kannada,-1989,UA,153 min,"Drama, Family            ",14,M.S. Rajashekar,"['Raghavendra Rajkumar', 'Malashri', 'Mysore Lokesh', 'Chi Ravishankar']"
837,Circle Inspector,Kannada,-2018,UA,108 min,Thriller            ,45,Amar Gowda,[]
838,Mutthina Haara,Kannada,-2018,UA,105 min,Thriller            ,240,Dayal Padmanabhan,"['Ashitha', 'Anupama Gowda', 'Karthik Jayaram', 'Naveen Krishna']"
839,Bhakta Kumbhara,Kannada,(I) (2018),,,"Crime, Mystery, Thriller            ",69,Hari Anand,"['Radhika Chetan', 'Avinash Narsimharaju', 'Sheetal Shetty', 'Rajesh Nataranga']"
840,Sharapanjara,Kannada,-2017,A,131 min,"Comedy, Drama            ",68,Rohith Padaki,"['Prakash Belawadi', 'Samyuktha Hornadu', 'Raghu Mukherjee', 'Rajesh Nataranga']"
841,Paduvarahalli Pandavaru,Kannada,-2017,U,118 min,"Comedy, Family, Sci-Fi            ",76,Harsh Gowda,"['Manju Heddur', 'Saniha Yadav', 'Pooja Raju', 'Priyanka Arora']"
842,Forest,Kannada,-2017,U,124 min,"Comedy, Drama            ",833,Raj B. Shetty,"['Usha Bhandary', 'Shailashree Mulki', 'Amrutha Naik', 'Deepak Rai Panaje']"
843,8MM Bullet,Kannada,-2017,Not Rated,148 min,"Action, Drama            ","2,482",Santhosh Ananddram,"['Puneeth Rajkumar', 'Priya Anand', 'Sarath Kumar', 'Vijayalakshmi Singh']"
844,Darpana,Kannada,-2016,UA,139 min,Drama            ,15,Raghu Jaya,"['Vikram Sahadev', 'Priyanka Jain', 'Hemanth Srinivas', 'Divya Rangayana']"
845,Prema Geema Jane Do,Kannada,-2016,U,140 min,"Drama, Romance            ",15,Indra Babu,"['Shivarajkumar', 'Sanusha', 'Sharath Kumar', 'H.G. Dattatreya']"
846,Dec-01,Kannada,-1997,U,147 min,"Drama, Romance            ",133,Dinesh Babu,"['Ramesh Aravind', 'Sarath Babu', 'Niveditha Jain', 'Ramakrishna']"
847,Adhyaksha,Kannada,-2015,U,,Drama            ,7,Raviteja Mudigere,"['Chethan Chandra', 'Aishwarya Nag']"
848,Sidlingu,Kannada,-2015,Not Rated,129 min,"Mystery, Romance, Thriller            ",437,K.M. Chaitanya,"['Anant Nag', 'Chiranjeevi Sarja', 'Meghana Raj', 'Parul Yadav']"
849,Byari,Kannada,-2015,Not Rated,135 min,"Action, Mystery, Thriller            ","7,790",Upendra,"['Upendra', 'Kristina Akheeva', 'Parul Yadav', 'Sayaji Shinde']"
850,Bandhana,Kannada,-2017,Not Rated,114 min,"Crime, Drama, Thriller            ",329,Adarsh Eshwarappa,"['Lauren Spartano', 'Niveditha', 'Amrutha Karagada', 'Niranjan Bopanna']"
851,Rama Shama Bhama,Kannada,-2015,,58 min,Thriller            ,26,Karthik Nayaka,"['Rajani Bharadwaj', 'Shreyas']"
852,Yuga Purusha,Kannada,-2019,UA,139 min,"Action, Thriller            ",24,Shankar Gowda,"['Komal Kumar', 'Rishika Sharma', 'Loose Maadha Yogi']"
853,Antha,Kannada,-1997,Not Rated,137 min,Action            ,27,Anand P. Raju,"['Saroja Devi B.', 'Saikumar', 'Ranjitha', 'Umashree']"
854,Nagamandala,Kannada,-2013,U,130 min,"Comedy, Romance            ","1,809",Suni,"['Rakshit Shetty', 'Shwetha Srivatsav', 'Srinagar Kitty']"
855,Accident,Kannada,-2012,,90 min,"Animation, Action, Adventure            ",27,Chetan Sharma,['Mahesh Vettiyar']
856,Kokila,Kannada,-1975,,178 min,"Drama, History            ",185,Vijay,"['Ashwath', 'Balkrishna', 'Bhatti Mahadevappa', 'Manjula']"
857,America America,Kannada,-1973,Not Rated,165 min,Comedy            ,65,V. Somasekhar,"['Balkrishna', 'M.V. Rajamma', 'Rajkumar', 'Arathi']"
858,AK 47,Kannada,-1970,Not Rated,165 min,Musical            ,11,Siddalingaiah,"['Bharathi', 'B.S. Dwarakish', 'Jayanthi', 'Tiger Prabhakar']"
859,Tarak,Kannada,-1973,,140 min,"Action, Drama, Thriller            ",184,Vijay,"['Balkrishna', 'Kalpana', 'Rajkumar', 'Vishnuvardhan']"
860,Dhairyam,Kannada,-1960,,127 min,"Biography, Drama, History            ",37,Y.R. Swamy,"['Udaya Kumar', 'Rajkumar', 'Ashwath', 'Sorat Ashwath']"
861,Mugulu Nage,Kannada,-1981,Not Rated,148 min,Comedy            ,69,Bhargava,"['Balakrishna', 'B.S. Dwarakish', 'Musari Krishnamurthy', 'Lokanath']"
862,Ajay,Kannada,-2019,UA,116 min,Drama            ,9,Krish,"['Sangeetha Bhat', 'Balu Nagendra']"
863,Dana Kayonu,Kannada,-2019,U,,"Comedy, Family, Thriller            ",15,Udaya Kumar,"['Manju Rajanna', 'Advithi Shetty', 'Akshok', 'Divyashree']"
864,Parapancha,Kannada,-1982,Not Rated,174 min,"Crime, Thriller            ",40,Joe Simon,"['Vishnuvardhan', 'Udaya Kumar', 'Rajyalakshmi', 'Vajramuni']"
